x y z t
-0.152 0.04 10.215 4
-0.152 0.04 10.215 5
-0.152 0.04 10.215 5
0.153 0.049 9.812 5
0.153 0.049 9.812 5
0.153 0.049 9.812 6
0.153 0.049 9.812 4
0.106 0.126 8.673 5
0.106 0.126 8.673 5
0.106 0.126 8.673 5
0.106 0.126 8.673 6
0.134 0.126 9.774 5
0.134 0.126 9.774 5
0.134 0.126 9.774 4
0.134 0.126 9.774 5
-0.066 0.03 10.234 5
-0.066 0.03 10.234 5
-0.066 0.03 10.234 6
-0.066 0.03 10.234 5
0.086 0.068 9.333 4
0.086 0.068 9.333 5
0.086 0.068 9.333 5
0.086 0.068 9.333 5
-0.008 0.212 9.104 6
-0.008 0.212 9.104 5
-0.008 0.212 9.104 4
-0.008 0.212 9.104 5
0.115 -0.017 9.764 5
0.115 -0.017 9.764 5
0.115 -0.017 9.764 5
0.115 -0.017 9.764 6
0.144 0.241 9.784 4
0.144 0.241 9.784 5
0.144 0.241 9.784 5
0.144 0.241 9.784 5
-0.075 0.059 9.554 5
-0.075 0.059 9.554 6
-0.075 0.059 9.554 5
-0.075 0.059 9.554 4
-0.114 -0.007 9.266 5
-0.114 -0.007 9.266 5
-0.114 -0.007 9.266 5
-0.114 -0.007 9.266 6
0.096 0.145 9.764 5
0.096 0.145 9.764 4
0.096 0.145 9.764 5
0.096 0.145 9.764 5
0.201 0.202 9.745 5
0.201 0.202 9.745 6
0.201 0.202 9.745 5
0.115 0.078 9.688 5
0.115 0.078 9.688 4
0.115 0.078 9.688 5
0.115 0.078 9.688 5
-0.095 -0.055 9.621 5
-0.095 -0.055 9.621 6
-0.095 -0.055 9.621 4
-0.095 -0.055 9.621 5
0.077 0.375 9.343 5
0.077 0.375 9.343 5
0.077 0.375 9.343 5
0.077 0.375 9.343 6
-0.056 -0.055 9.669 5
-0.056 -0.055 9.669 4
-0.056 -0.055 9.669 5
-0.056 -0.055 9.669 5
0.144 0.289 10.119 5
0.144 0.289 10.119 6
0.144 0.289 10.119 5
0.144 0.289 10.119 4
0.01 -0.026 9.563 5
0.01 -0.026 9.563 5
0.01 -0.026 9.563 5
0.01 -0.026 9.563 6
0.192 0.155 9.439 5
0.192 0.155 9.439 4
0.192 0.155 9.439 5
0.192 0.155 9.439 5
0.115 0.183 9.151 5
0.115 0.183 9.151 5
0.115 0.183 9.151 6
0.115 0.183 9.151 4
0.077 -0.084 10.023 5
