x y z t
-0.2 -0.065 9.831 5
-0.2 -0.065 9.831 5
-0.2 -0.065 9.831 5
0.23 0.049 10.262 5
0.23 0.049 10.262 5
0.23 0.049 10.262 5
0.23 0.049 10.262 5
-0.152 0.164 8.979 5
-0.152 0.164 8.979 5
-0.152 0.164 8.979 5
-0.152 0.164 8.979 5
0.153 0.04 10.109 5
0.153 0.04 10.109 5
0.153 0.04 10.109 5
0.029 -0.132 8.433 5
0.029 -0.132 8.433 5
0.029 -0.132 8.433 5
0.029 -0.132 8.433 5
0.153 0.049 9.429 5
0.153 0.049 9.429 5
0.153 0.049 9.429 5
0.153 0.049 9.429 5
-0.047 0.078 9.544 5
-0.047 0.078 9.544 5
-0.047 0.078 9.544 5
-0.047 0.078 9.544 5
-0.21 0.164 9.793 5
-0.21 0.164 9.793 5
-0.21 0.164 9.793 5
-0.21 0.164 9.793 5
-0.181 -0.113 9.927 5
-0.181 -0.113 9.927 5
-0.181 -0.113 9.927 5
-0.181 -0.113 9.927 5
0.029 0.183 9.515 5
0.029 0.183 9.515 5
0.029 0.183 9.515 5
0.029 0.183 9.515 5
0.22 0.02 9.084 5
0.22 0.02 9.084 5
0.22 0.02 9.084 5
0.22 0.02 9.084 5
0.077 0.001 10.339 5
0.077 0.001 10.339 5
0.077 0.001 10.339 5
0.077 0.001 10.339 5
-0.152 -0.007 8.395 5
-0.152 -0.007 8.395 5
-0.152 -0.007 8.395 5
-0.152 -0.007 8.395 5
0.077 0.011 9.812 5
0.077 0.011 9.812 5
0.077 0.011 9.812 5
0.077 0.011 9.812 5
-0.257 0.087 9.046 5
-0.257 0.087 9.046 5
-0.257 0.087 9.046 5
-0.257 0.087 9.046 5
-0.21 0.126 10.215 5
-0.21 0.126 10.215 5
-0.21 0.126 10.215 5
-0.21 0.126 10.215 5
0.24 0.03 9.899 5
0.24 0.03 9.899 5
0.24 0.03 9.899 5
-0.008 0.193 9.496 5
-0.008 0.193 9.496 5
-0.008 0.193 9.496 5
-0.008 0.193 9.496 5
0.163 -0.046 10.253 5
0.163 -0.046 10.253 5
0.163 -0.046 10.253 5
0.163 -0.046 10.253 5
-0.19 -0.036 8.797 5
-0.19 -0.036 8.797 5
-0.19 -0.036 8.797 5
-0.19 -0.036 8.797 5
-0.008 0.04 9.391 5
-0.008 0.04 9.391 5
-0.008 0.04 9.391 5
-0.008 0.04 9.391 5
-0.085 0.068 9.266 5
-0.085 0.068 9.266 5
-0.085 0.068 9.266 5
-0.085 0.068 9.266 5
0.115 0.222 9.487 5
0.115 0.222 9.487 5
0.115 0.222 9.487 5
0.115 0.222 9.487 5
-0.104 0.011 10.598 5
-0.104 0.011 10.598 5
-0.104 0.011 10.598 5
-0.104 0.011 10.598 5
-0.114 0.03 9.592 5
