t,aX,aY,aZ
9.27,0.352,2.010,2.428
9.291,0.829,1.851,2.411
9.312,1.005,1.873,2.527
9.332,0.736,1.829,2.554
9.353,0.434,1.741,3.164
9.374,0.203,1.719,3.609
9.394,-0.472,1.642,3.642
9.415,-0.549,1.412,3.680
9.436,-0.626,1.362,3.060
9.456,-0.709,1.285,2.796
9.477,-0.511,1.208,1.846
9.498,-0.461,1.329,1.022
9.518,-0.731,1.335,0.780
9.539,-0.862,1.318,0.555
9.56,-1.005,1.313,0.610
9.581,-1.423,1.247,0.582
9.601,-1.302,1.000,0.736
9.622,-1.263,0.912,0.610
9.643,-1.104,0.818,0.516
9.663,-0.797,0.703,0.412
9.684,-0.654,0.703,0.577
9.705,-0.720,0.665,0.577
9.725,-0.670,0.544,1.302
9.746,-0.670,0.439,1.972
9.767,-0.786,0.324,2.126
9.787,-0.659,0.082,2.670
9.808,-0.577,-0.011,2.747
9.829,-0.560,-0.099,2.741
9.85,-0.494,-0.099,2.587
9.87,-0.472,-0.027,2.340
9.891,-0.687,-0.005,2.258
9.912,-0.720,0.016,1.917
9.932,-0.753,-0.016,1.533
9.953,-0.709,-0.071,1.417
9.974,-0.478,-0.192,0.906
9.994,-0.286,-0.209,0.439
10.015,-0.088,-0.258,0.286
10.036,-0.044,-0.181,-0.165
10.056,0.011,-0.077,-0.445
10.077,-0.269,-0.016,-0.549
10.098,-0.379,0.077,-0.681
10.119,-0.412,0.093,-0.709
10.139,-0.461,0.055,-0.725
10.16,-0.346,-0.082,-0.687
10.181,-0.192,-0.159,-0.731
10.201,-0.077,-0.236,-0.769
10.222,0.000,-0.247,-0.950
10.243,0.099,-0.159,-1.121
10.263,0.005,-0.093,-1.203
10.284,-0.005,0.022,-1.241
10.305,0.049,0.082,-1.159
10.325,-0.033,0.121,-1.159
10.346,-0.016,0.055,-0.928
10.367,0.055,0.049,-0.731
10.388,-0.049,0.027,-0.698
10.408,-0.071,0.049,-0.566
10.429,-0.027,0.154,-0.544
10.45,-0.137,0.242,-0.588
10.47,-0.115,0.335,-0.659
10.491,-0.011,0.374,-0.709
10.512,0.016,0.390,-0.786
10.532,0.126,0.308,-0.840
10.553,0.319,0.302,-0.928
10.574,0.428,0.302,-1.005
10.594,0.522,0.352,-1.198
10.615,0.692,0.483,-1.335
10.636,0.566,0.604,-1.445
10.657,0.478,0.703,-1.615
10.677,0.494,0.769,-1.763
10.698,0.352,0.813,-1.857
10.719,0.401,0.780,-2.098
10.739,0.593,0.813,-2.269
10.76,0.714,0.851,-2.390
10.781,0.807,0.934,-2.488
10.801,1.000,1.033,-2.401
10.822,0.807,1.159,-2.422
10.843,0.681,1.241,-2.203
10.863,0.637,1.307,-1.983
10.884,0.379,1.340,-1.950
10.905,0.363,1.335,-1.763
10.926,0.494,1.384,-1.675
10.946,0.582,1.434,-1.697
10.967,0.659,1.560,-1.708
10.988,0.862,1.681,-1.725
11.008,0.758,1.802,-1.769
11.029,0.709,1.912,-1.945
11.05,0.731,1.972,-2.313
11.07,0.599,2.038,-2.494
11.091,0.582,2.060,-2.966
11.112,0.698,2.104,-2.983
11.132,0.593,2.175,-2.999
11.153,0.500,2.274,-2.417
11.174,0.494,2.346,-1.681
11.195,0.280,2.477,-1.390
11.215,0.187,2.593,-0.522
11.236,0.225,2.648,-0.093
11.257,0.203,2.719,0.055
11.277,0.192,2.725,0.280
11.298,0.286,2.719,0.615
11.319,0.198,2.725,0.736
11.339,0.077,2.752,1.329
11.36,0.022,2.780,1.648
11.381,-0.148,2.873,1.758
11.401,-0.209,2.961,1.478
11.422,-0.121,2.988,0.989
11.443,0.011,3.054,0.720
11.464,0.016,3.032,-0.066
11.484,0.165,2.994,-0.363
11.505,0.110,2.972,-0.522
11.526,-0.022,2.900,-0.483
11.546,-0.071,2.862,-0.319
11.567,-0.121,2.889,-0.253
11.588,-0.159,2.867,-0.434
11.608,0.055,2.812,-0.703
11.629,0.253,2.807,-0.901
11.65,0.236,2.670,-1.318
11.67,0.385,2.593,-1.225
11.691,0.275,2.527,-1.203
11.712,0.126,2.411,-0.736
11.733,0.104,2.340,-0.214
11.753,0.115,2.313,0.027
11.774,0.060,2.203,0.412
11.795,0.346,2.115,0.764
11.815,0.538,1.994,0.879
11.836,0.483,1.769,1.252
11.857,0.643,1.653,1.697
11.877,0.555,1.483,1.884
11.898,0.390,1.280,2.109
11.919,0.401,1.181,2.043
11.939,0.406,1.088,1.912
11.96,0.291,0.917,1.027
11.981,0.505,0.824,0.352
12.002,0.566,0.714,-0.121
12.022,0.434,0.555,-0.906
12.043,0.456,0.472,-0.978
12.064,0.286,0.434,-1.044
12.084,0.088,0.352,-0.786
12.105,0.088,0.297,-0.483
12.126,0.093,0.313,-0.335
12.146,-0.055,0.231,-0.187
12.167,0.115,0.198,-0.071
12.188,0.121,0.159,-0.055
12.208,-0.033,0.110,0.055
12.229,-0.049,0.088,0.313
12.25,-0.225,0.115,0.478
12.271,-0.406,0.093,0.961
12.291,-0.472,0.088,1.313
12.312,-0.522,-0.016,1.516
12.333,-0.659,-0.165,1.637
12.353,-0.522,-0.209,1.615
12.374,-0.445,-0.308,1.544
12.395,-0.544,-0.368,1.384
12.415,-0.439,-0.385,1.296
12.436,-0.505,-0.379,1.225
12.457,-0.637,-0.406,0.978
12.477,-0.709,-0.417,0.709
12.498,-0.758,-0.445,0.472
12.519,-0.862,-0.467,-0.203
12.54,-0.807,-0.489,-0.610
12.56,-0.742,-0.401,-0.928
12.581,-0.797,-0.313,-1.329
12.602,-0.818,-0.286,-1.412
12.622,-0.906,-0.192,-1.445
12.643,-1.000,-0.198,-1.434
12.664,-1.159,-0.214,-1.450
12.684,-1.165,-0.291,-1.472
12.705,-1.236,-0.390,-1.719
12.726,-1.099,-0.445,-1.829
12.746,-0.884,-0.472,-1.906
12.767,-0.906,-0.423,-1.912
12.788,-0.807,-0.428,-1.769
12.809,-0.807,-0.324,-1.631
12.829,-0.901,-0.280,-1.390
