,train,test,features,f,k,domain
203,0.810324525898199,0.6994672358447758,"['aac', 'crest', 'clearance']",3,5,temporal
204,0.7898258287266231,0.6663344593648286,"['aac', 'impulse', 'clearance']",3,5,temporal
205,0.7998664447745993,0.689773841336,"['rms', 'skewness', 'kurtosis']",3,5,temporal
206,0.8767569109404338,0.7948538680022185,"['rms', 'skewness', 'shape']",3,5,temporal
207,0.8424528873092786,0.754019260180501,"['rms', 'skewness', 'crest']",3,5,temporal
208,0.8492300100271415,0.7650678139863195,"['rms', 'skewness', 'impulse']",3,5,temporal
209,0.8506524991731546,0.7667372537156238,"['rms', 'skewness', 'clearance']",3,5,temporal
210,0.8271422646640383,0.7272533234735551,"['rms', 'kurtosis', 'shape']",3,5,temporal
211,0.7958503733491528,0.6800563575962307,"['rms', 'kurtosis', 'crest']",3,5,temporal
212,0.8015402249369586,0.689086457930679,"['rms', 'kurtosis', 'impulse']",3,5,temporal
213,0.7966867734478493,0.6870786485381198,"['rms', 'kurtosis', 'clearance']",3,5,temporal
214,0.8613624312930812,0.7771029058335154,"['rms', 'shape', 'crest']",3,5,temporal
215,0.858099392946702,0.7694083572825107,"['rms', 'shape', 'impulse']",3,5,temporal
216,0.8587689540098943,0.7687394609614404,"['rms', 'shape', 'clearance']",3,5,temporal
217,0.7989461526750419,0.682398054934651,"['rms', 'crest', 'impulse']",3,5,temporal
218,0.8057231703966583,0.6941082222707742,"['rms', 'crest', 'clearance']",3,5,temporal
219,0.7981930845972257,0.678042946056929,"['rms', 'impulse', 'clearance']",3,5,temporal
220,0.7938420751458135,0.6623132384329675,"['skewness', 'kurtosis', 'shape']",3,5,temporal
221,0.7914164868605947,0.6596354122899896,"['skewness', 'kurtosis', 'crest']",3,5,temporal
222,0.7849739521812096,0.6646661400648728,"['skewness', 'kurtosis', 'impulse']",3,5,temporal
223,0.7756031421876668,0.6408984722945833,"['skewness', 'kurtosis', 'clearance']",3,5,temporal
224,0.8377676048081281,0.7302482311221661,"['skewness', 'shape', 'crest']",3,5,temporal
225,0.8374329467721529,0.728911558909374,"['skewness', 'shape', 'impulse']",3,5,temporal
226,0.8356759745839086,0.7248953799095814,"['skewness', 'shape', 'clearance']",3,5,temporal
227,0.8016241169378194,0.6880887155958163,"['skewness', 'crest', 'impulse']",3,5,temporal
228,0.8103253308694214,0.6924365416827728,"['skewness', 'crest', 'clearance']",3,5,temporal
229,0.7788655505565676,0.6519459056710531,"['skewness', 'impulse', 'clearance']",3,5,temporal
230,0.8083160876998647,0.6777090581110682,"['kurtosis', 'shape', 'crest']",3,5,temporal
231,0.8049690873551271,0.6713506215581811,"['kurtosis', 'shape', 'impulse']",3,5,temporal
232,0.8036308751962118,0.6683377870399937,"['kurtosis', 'shape', 'clearance']",3,5,temporal
233,0.8047189162987424,0.6897570348957721,"['kurtosis', 'crest', 'impulse']",3,5,temporal
234,0.8029616641205077,0.6897559144664236,"['kurtosis', 'crest', 'clearance']",3,5,temporal
235,0.8015386849920116,0.6760390581670895,"['kurtosis', 'impulse', 'clearance']",3,5,temporal
236,0.8036308051987142,0.6726900948443444,"['shape', 'crest', 'impulse']",3,5,temporal
237,0.8043840482702744,0.6763701450395792,"['shape', 'crest', 'clearance']",3,5,temporal
238,0.8007023898895614,0.6726884142003215,"['shape', 'impulse', 'clearance']",3,5,temporal
239,0.7945114262165127,0.6807190915558842,"['crest', 'impulse', 'clearance']",3,5,temporal
240,0.8428712623523709,0.80521952012011,"['zerocross', 'pp', 'aac']",3,11,temporal
241,0.8320784181965495,0.7935071119252898,"['zerocross', 'pp', 'rms']",3,11,temporal
242,0.8489788590057905,0.8216114014890505,"['zerocross', 'pp', 'skewness']",3,11,temporal
243,0.7976902225745429,0.7563575962308757,"['zerocross', 'pp', 'kurtosis']",3,11,temporal
244,0.8442930165246594,0.8139157325086973,"['zerocross', 'pp', 'shape']",3,11,temporal
245,0.8379346188373766,0.8062155818109499,"['zerocross', 'pp', 'crest']",3,11,temporal
246,0.8376837128072671,0.8055466854898796,"['zerocross', 'pp', 'impulse']",3,11,temporal
247,0.8379346538361254,0.8068867189907172,"['zerocross', 'pp', 'clearance']",3,11,temporal
248,0.8233774142574404,0.7804585917323519,"['zerocross', 'aac', 'rms']",3,11,temporal
249,0.8341703984082569,0.7911603726548013,"['zerocross', 'aac', 'skewness']",3,11,temporal
250,0.7843880031288881,0.7342722531273983,"['zerocross', 'aac', 'kurtosis']",3,11,temporal
251,0.849398214013849,0.8145863094737903,"['zerocross', 'aac', 'shape']",3,11,temporal
252,0.8260533835915366,0.78547419371103,"['zerocross', 'aac', 'crest']",3,11,temporal
253,0.8286477358434435,0.7901581486025445,"['zerocross', 'aac', 'impulse']",3,11,temporal
254,0.8319941412094518,0.7901581486025445,"['zerocross', 'aac', 'clearance']",3,11,temporal
255,0.845549296612646,0.8002067192148031,"['zerocross', 'rms', 'skewness']",3,11,temporal
256,0.7995309817674019,0.7553615345400357,"['zerocross', 'rms', 'kurtosis']",3,11,temporal
257,0.8514895292493293,0.8119112844041837,"['zerocross', 'rms', 'shape']",3,11,temporal
258,0.8432059903858438,0.8152630488003003,"['zerocross', 'rms', 'crest']",3,11,temporal
259,0.8480586719024796,0.8192814686587901,"['zerocross', 'rms', 'impulse']",3,11,temporal
260,0.8487281279694251,0.8196136759606281,"['zerocross', 'rms', 'clearance']",3,11,temporal
261,0.6991288811424992,0.6325277446317428,"['zerocross', 'skewness', 'kurtosis']",3,11,temporal
262,0.7899928427558714,0.7329355809146063,"['zerocross', 'skewness', 'shape']",3,11,temporal
263,0.7697452616068976,0.7175263160843235,"['zerocross', 'skewness', 'crest']",3,11,temporal
264,0.7673183783679733,0.718193531761371,"['zerocross', 'skewness', 'impulse']",3,11,temporal
265,0.7709167397265548,0.7225430384923502,"['zerocross', 'skewness', 'clearance']",3,11,temporal
266,0.7310912784867941,0.6820624863447673,"['zerocross', 'kurtosis', 'shape']",3,11,temporal
267,0.7172013600513782,0.6596387735780351,"['zerocross', 'kurtosis', 'crest']",3,11,temporal
268,0.7182055441517965,0.6549503369691265,"['zerocross', 'kurtosis', 'impulse']",3,11,temporal
269,0.7213845855010683,0.6636504708604337,"['zerocross', 'kurtosis', 'clearance']",3,11,temporal
270,0.7848900951790972,0.7463107062626398,"['zerocross', 'shape', 'crest']",3,11,temporal
271,0.7833004520088407,0.7422950874775214,"['zerocross', 'shape', 'impulse']",3,11,temporal
272,0.7834676410318331,0.7422950874775214,"['zerocross', 'shape', 'clearance']",3,11,temporal
273,0.7199620613563065,0.6669994341831791,"['zerocross', 'crest', 'impulse']",3,11,temporal
274,0.7266558870520379,0.6733629126681344,"['zerocross', 'crest', 'clearance']",3,11,temporal
275,0.7237274017453876,0.662654969384268,"['zerocross', 'impulse', 'clearance']",3,11,temporal
